x, f(x), mean, lower, upper, acq
0.000000,0.648022,0.553057,-2.432208,3.538322,-0.132531
0.001000,0.630689,0.550790,-2.430352,3.531931,-0.135890
0.002000,0.613554,0.548489,-2.428443,3.525422,-0.139304
0.003000,0.596635,0.546155,-2.426481,3.518792,-0.142773
0.004000,0.579948,0.543788,-2.424464,3.512040,-0.146298
0.005000,0.563507,0.541385,-2.422392,3.505163,-0.149879
0.006000,0.547326,0.538948,-2.420263,3.498159,-0.153518
0.007000,0.531417,0.536476,-2.418076,3.491027,-0.157214
0.008000,0.515792,0.533968,-2.415829,3.483765,-0.160969
0.009000,0.500461,0.531424,-2.413523,3.476370,-0.164783
0.010000,0.485433,0.528843,-2.411156,3.468841,-0.168657
0.011000,0.470716,0.526225,-2.408726,3.461175,-0.172592
0.012000,0.456316,0.523570,-2.406232,3.453371,-0.176589
0.013000,0.442240,0.520876,-2.403674,3.445426,-0.180648
0.014000,0.428491,0.518145,-2.401049,3.437339,-0.184770
0.015000,0.415073,0.515374,-2.398358,3.429106,-0.188955
0.016000,0.401988,0.512565,-2.395598,3.420727,-0.193206
0.017000,0.389236,0.509715,-2.392768,3.412198,-0.197521
0.018000,0.376816,0.506825,-2.389867,3.403518,-0.201902
0.019000,0.364728,0.503895,-2.386895,3.394685,-0.206350
0.020000,0.352969,0.500923,-2.383849,3.385696,-0.210865
0.021000,0.341534,0.497910,-2.380728,3.376548,-0.215448
0.022000,0.330420,0.494855,-2.377531,3.367241,-0.220101
0.023000,0.319619,0.491757,-2.374257,3.357771,-0.224822
0.024000,0.309125,0.488616,-2.370904,3.348137,-0.229614
0.025000,0.298930,0.485432,-2.367472,3.338336,-0.234477
0.026000,0.289026,0.482204,-2.363958,3.328365,-0.239412
0.027000,0.279402,0.478931,-2.360362,3.318223,-0.244419
0.028000,0.270048,0.475613,-2.356682,3.307907,-0.249499
0.029000,0.260953,0.472250,-2.352916,3.297415,-0.254653
0.030000,0.252105,0.468840,-2.349064,3.286745,-0.259881
0.031000,0.243491,0.465385,-2.345124,3.275894,-0.265184
0.032000,0.235097,0.461882,-2.341095,3.264859,-0.270564
0.033000,0.226910,0.458332,-2.336975,3.253640,-0.276019
0.034000,0.218915,0.454734,-2.332764,3.242232,-0.281552
0.035000,0.211098,0.451088,-2.328458,3.230634,-0.287162
0.036000,0.203444,0.447393,-2.324058,3.218843,-0.292851
0.037000,0.195937,0.443648,-2.319562,3.206858,-0.298619
0.038000,0.188561,0.439853,-2.314968,3.194675,-0.304466
0.039000,0.181301,0.436008,-2.310275,3.182292,-0.310393
0.040000,0.174141,0.432113,-2.305482,3.169707,-0.316401
0.041000,0.167066,0.428166,-2.300587,3.156918,-0.322491
0.042000,0.160058,0.424167,-2.295589,3.143922,-0.328662
0.043000,0.153103,0.420115,-2.290486,3.130717,-0.334916
0.044000,0.146185,0.416011,-2.285278,3.117300,-0.341252
0.045000,0.139288,0.411854,-2.279962,3.103669,-0.347672
0.046000,0.132398,0.407642,-2.274537,3.089821,-0.354175
0.047000,0.125501,0.403377,-2.269002,3.075755,-0.360763
0.048000,0.118581,0.399056,-2.263356,3.061468,-0.367435
0.049000,0.111625,0.394681,-2.257596,3.046958,-0.374193
0.050000,0.104621,0.390249,-2.251723,3.032221,-0.381035
0.051000,0.097556,0.385762,-2.245734,3.017257,-0.387964
0.052000,0.090417,0.381217,-2.239628,3.002063,-0.394979
0.053000,0.083194,0.376616,-2.233403,2.986635,-0.402080
0.054000,0.075876,0.371957,-2.227059,2.970973,-0.409268
0.055000,0.068453,0.367240,-2.220594,2.955074,-0.416543
0.056000,0.060918,0.362464,-2.214007,2.938935,-0.423905
0.057000,0.053261,0.357630,-2.207296,2.922555,-0.431354
0.058000,0.045476,0.352736,-2.200460,2.905931,-0.438891
0.059000,0.037556,0.347782,-2.193497,2.889061,-0.446515
0.060000,0.029497,0.342768,-2.186408,2.871943,-0.454227
0.061000,0.021295,0.337693,-2.179190,2.854576,-0.462027
0.062000,0.012945,0.332557,-2.171842,2.836956,-0.469914
0.063000,0.004446,0.327360,-2.164363,2.819082,-0.477889
0.064000,-0.004204,0.322100,-2.156751,2.800951,-0.485952
0.065000,-0.013004,0.316778,-2.149006,2.782563,-0.494102
0.066000,-0.021955,0.311394,-2.141127,2.763915,-0.502339
0.067000,-0.031054,0.305946,-2.133112,2.745005,-0.510664
0.068000,-0.040298,0.300435,-2.124961,2.725831,-0.519075
0.069000,-0.049685,0.294861,-2.116671,2.706393,-0.527572
0.070000,-0.059208,0.289222,-2.108243,2.686687,-0.536156
0.071000,-0.068864,0.283519,-2.099675,2.666712,-0.544825
0.072000,-0.078645,0.277750,-2.090967,2.646468,-0.553580
0.073000,-0.088544,0.271917,-2.082116,2.625951,-0.562419
0.074000,-0.098553,0.266019,-2.073124,2.605161,-0.571343
0.075000,-0.108662,0.260055,-2.063988,2.584097,-0.580350
0.076000,-0.118863,0.254024,-2.054708,2.562757,-0.589439
0.077000,-0.129144,0.247928,-2.045283,2.541140,-0.598611
0.078000,-0.139495,0.241766,-2.035713,2.519244,-0.607864
0.079000,-0.149904,0.235537,-2.025997,2.497070,-0.617197
0.080000,-0.160357,0.229241,-2.016133,2.474615,-0.626610
0.081000,-0.170844,0.222878,-2.006123,2.451878,-0.636101
0.082000,-0.181349,0.216448,-1.995964,2.428860,-0.645669
0.083000,-0.191860,0.209951,-1.985657,2.405559,-0.655313
0.084000,-0.202363,0.203386,-1.975202,2.381975,-0.665032
0.085000,-0.212842,0.196755,-1.964597,2.358106,-0.674825
0.086000,-0.223284,0.190055,-1.953844,2.333954,-0.684690
0.087000,-0.233673,0.183288,-1.942940,2.309517,-0.694625
0.088000,-0.243996,0.176454,-1.931887,2.284796,-0.704630
0.089000,-0.254236,0.169552,-1.920685,2.259789,-0.714702
0.090000,-0.264380,0.162583,-1.909332,2.234498,-0.724840
0.091000,-0.274412,0.155546,-1.897830,2.208923,-0.735043
0.092000,-0.284319,0.148443,-1.886179,2.183064,-0.745307
0.093000,-0.294085,0.141272,-1.874378,2.156921,-0.755632
0.094000,-0.303697,0.134034,-1.862428,2.130495,-0.766015
0.095000,-0.313141,0.126729,-1.850330,2.103787,-0.776454
0.096000,-0.322403,0.119358,-1.838083,2.076798,-0.786946
0.097000,-0.331472,0.111920,-1.825689,2.049529,-0.797491
0.098000,-0.340335,0.104416,-1.813148,2.021981,-0.808085
0.099000,-0.348980,0.096847,-1.800461,1.994156,-0.818725
0.100000,-0.357397,0.089213,-1.787629,1.966055,-0.829410
0.101000,-0.365574,0.081514,-1.774652,1.937680,-0.840136
0.102000,-0.373503,0.073751,-1.761532,1.909033,-0.850902
0.103000,-0.381174,0.065923,-1.748269,1.880116,-0.861703
0.104000,-0.388581,0.058033,-1.734866,1.850932,-0.872537
0.105000,-0.395715,0.050080,-1.721323,1.821483,-0.883402
0.106000,-0.402570,0.042065,-1.707642,1.791772,-0.894293
0.107000,-0.409141,0.033989,-1.693824,1.761802,-0.905209
0.108000,-0.415425,0.025852,-1.679872,1.731577,-0.916145
0.109000,-0.421416,0.017656,-1.665787,1.701099,-0.927098
0.110000,-0.427114,0.009401,-1.651570,1.670373,-0.938066
0.111000,-0.432516,0.001089,-1.637225,1.639402,-0.949044
0.112000,-0.437623,-0.007281,-1.622753,1.608191,-0.960029
0.113000,-0.442434,-0.015706,-1.608156,1.576744,-0.971018
0.114000,-0.446952,-0.024186,-1.593438,1.545066,-0.982006
0.115000,-0.451178,-0.032719,-1.578600,1.513162,-0.992990
0.116000,-0.455117,-0.041304,-1.563645,1.481037,-1.003967
